2025-05-19 08:00 - 2025-05-19 08:50: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-05-26 08:00 - 2025-05-26 08:50: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-06-02 08:00 - 2025-06-02 08:50: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-03-06 09:40 - 2025-03-06 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-03-13 09:40 - 2025-03-13 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-03-20 09:40 - 2025-03-20 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-03-27 09:40 - 2025-03-27 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-04-03 09:40 - 2025-04-03 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-04-10 09:40 - 2025-04-10 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-04-17 09:40 - 2025-04-17 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-04-24 09:40 - 2025-04-24 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-05-01 09:40 - 2025-05-01 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-05-08 09:40 - 2025-05-08 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-05-15 09:40 - 2025-05-15 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-05-22 09:40 - 2025-05-22 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-05-29 09:40 - 2025-05-29 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-06-05 09:40 - 2025-06-05 10:30: Python Programming (BCASemSecondm) at D1, Faculty: Dr. Manivel Kandasamy
2025-03-05 08:00 - 2025-03-05 08:50: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-03-12 08:00 - 2025-03-12 08:50: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-03-19 08:00 - 2025-03-19 08:50: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
